INDUSTRY,QUARTER,YEAR,ACTION,VALUE_%
Wood and products of wood,1,2004,UTILISATION,90.4
Wood and products of wood,2,2004,UTILISATION,89.3
Wood and products of wood,3,2004,UTILISATION,88.9
Wood and products of wood,4,2004,UTILISATION,91.1
Wood and products of wood,1,2005,UTILISATION,88.7
Wood and products of wood,2,2005,UTILISATION,90.9
Wood and products of wood,3,2005,UTILISATION,92.0
Wood and products of wood,4,2005,UTILISATION,92.2
Wood and products of wood,1,2006,UTILISATION,89.4
Wood and products of wood,2,2006,UTILISATION,89.4
Wood and products of wood,3,2006,UTILISATION,90.0
Wood and products of wood,4,2006,UTILISATION,89.5
Wood and products of wood,1,2007,UTILISATION,88.4
Wood and products of wood,2,2007,UTILISATION,89.0
Wood and products of wood,3,2007,UTILISATION,87.2
Wood and products of wood,4,2007,UTILISATION,85.4
Wood and products of wood,1,2008,UTILISATION,89.7
Wood and products of wood,2,2008,UTILISATION,85.7
Wood and products of wood,3,2008,UTILISATION,86.8
Wood and products of wood,4,2008,UTILISATION,82.7
Wood and products of wood,1,2009,UTILISATION,84.5
Wood and products of wood,2,2009,UTILISATION,79.4
Wood and products of wood,3,2009,UTILISATION,74.1
Wood and products of wood,4,2009,UTILISATION,75.7
Wood and products of wood,1,2010,UTILISATION,76.7
Wood and products of wood,2,2010,UTILISATION,79.7
Wood and products of wood,3,2010,UTILISATION,78.4
Wood and products of wood,4,2010,UTILISATION,82.3
Wood and products of wood,1,2011,UTILISATION,80.7
Wood and products of wood,2,2011,UTILISATION,81.5
Wood and products of wood,3,2011,UTILISATION,81.3
Wood and products of wood,4,2011,UTILISATION,86.2
Wood and products of wood,1,2012,UTILISATION,80.9
Wood and products of wood,2,2012,UTILISATION,82.1
Wood and products of wood,3,2012,UTILISATION,82.9
Wood and products of wood,4,2012,UTILISATION,84.3
Wood and products of wood,1,2013,UTILISATION,82.2
Wood and products of wood,2,2013,UTILISATION,83.6
Wood and products of wood,3,2013,UTILISATION,83.1
Wood and products of wood,4,2013,UTILISATION,83.7
Wood and products of wood,1,2014,UTILISATION,81.4
Wood and products of wood,2,2014,UTILISATION,82.0
Wood and products of wood,3,2014,UTILISATION,81.8
Wood and products of wood,4,2014,UTILISATION,83.8
Wood and products of wood,1,2015,UTILISATION,81.6
Wood and products of wood,2,2015,UTILISATION,80.7
Wood and products of wood,3,2015,UTILISATION,82.3
